Language	English	Japanese	Korean	Chinese Simplified	Chinese Traditional
sAnchorGlitter	reflections/glitter	reflections/glitter	reflections/glitter	reflections/glitter	reflections/glitter
sAnchorGem	reflections/gem	reflections/gem	reflections/gem	reflections/gem	reflections/gem
sAnchorOutline	advanced/outline	advanced/outline	advanced/outline	advanced/outline	advanced/outline
sAnchorParallax	advanced/parallax	advanced/parallax	advanced/parallax	advanced/parallax	advanced/parallax
sAnchorDistanceFade	advanced/distancefade	advanced/distancefade	advanced/distancefade	advanced/distancefade	advanced/distancefade
sAnchorAudioLink	advanced/audiolink	advanced/audiolink	advanced/audiolink	advanced/audiolink	advanced/audiolink
sAnchorDissolve	advanced/dissolve	advanced/dissolve	advanced/dissolve	advanced/dissolve	advanced/dissolve
sAnchorIDMask	advanced/idmask	advanced/idmask	advanced/idmask	advanced/idmask	advanced/idmask
sAnchorUDIMDiscard	advanced/uvtilediscard	advanced/uvtilediscard	advanced/uvtilediscard	advanced/uvtilediscard	advanced/uvtilediscard
sAnchorEncryption	advanced/encryption	advanced/encryption	advanced/encryption	advanced/encryption	advanced/encryption
sAnchorStencil	advanced/stencil	advanced/stencil	advanced/stencil	advanced/stencil	advanced/stencil
sAnchorRendering	advanced/rendering	advanced/rendering	advanced/rendering	advanced/rendering	advanced/rendering
sAnchorTessellation	advanced/tessellation	advanced/tessellation	advanced/tessellation	advanced/tessellation	advanced/tessellation
sAnchorRefraction	advanced/refraction	advanced/refraction	advanced/refraction	advanced/refraction	advanced/refraction
sAnchorFur	advanced/fur	advanced/fur	advanced/fur	advanced/fur	advanced/fur
sAnchorOptimization	other?id=Optimization	other?id=最適化	other?id=Optimization	other?id=Optimization	other?id=Optimization
sAnchorShaderSetting	other?id=Shader-Setting	other?id=シェーダー設定	other?id=Shader-Setting	other?id=Shader-Setting	other?id=Shader-Setting
sReadmeURL	https://lilxyzw.github.io/lilToon/#/ja-jp/	https://lilxyzw.github.io/lilToon/#/ja-jp/	https://lilxyzw.github.io/lilToon/#/ja-jp/	https://lilxyzw.github.io/lilToon/#/ja-jp/	https://lilxyzw.github.io/lilToon/#/ja-jp/
sReadmeAnchorProblem	other/qa	other/qa	other/qa	other/qa	other/qa
sHelp	Help	ヘルプ	헬프	帮助	幫助
sCommonProblems	Common Problems	Q&A	일반적인 문제	常见问题	常見問題
sUtilGif2AtlasPow2	Do you want to adjust the texture resolution to power of 2?	テクスチャの解像度を2の累乗に合わせますか？	텍스처의 해상도를 2의 거듭 제곱에 맞게 싶으십니까?	您想将纹理分辨率匹配到 2 的幂吗？	您想將紋理分辨率匹配到 2 的冪嗎？
sUtilDotTexRedRatio	Select a reduction ratio	縮小率を選択してください。	축소 비율을 선택하십시오.	请选择一个缩小比例。	請選擇一個縮小比例。
sUtilShaderNotFound	Shader is not found.	シェーダーが見つかりません。	쉐이더가 없습니다.	未找到着色器。	未找到著色器。
sUtilSelectPresets	Select presets	プリセットを選択してください。	사전 설정을 선택하십시오.	请选择一个预设。	請選擇一個預設。
sUtilMaterialAlreadyExist	Materials may already exist. Are you sure you want to overwrite it?	マテリアルが既に存在している可能性があります。上書きしてもよろしいですか？	재료가 이미있을 수 있습니다. 덮어 하시겠습니까?	该材质可能已经存在，您确定要覆盖它吗？	該材料可能已經存在。 您確定要覆蓋它嗎？
sUtilInvalidFormat	Invalid format.	フォーマットが不正です。	Invalid format.	无效的格式。	Invalid format.
